REGION,DISTRICT,YEAR,CROP,YIELD,SAVANNAH
NORTHERN ,Gushiegu,2011,GROUNDNUT,1.72,
NORTHERN ,Karaga,2011,GROUNDNUT,1.19,
NORTHERN ,Nanumba North,2011,GROUNDNUT,1.73,
NORTHERN ,Nanumba South,2011,GROUNDNUT,1.49,
NORTHERN ,Saboba,2011,GROUNDNUT,1.74,
NORTHERN ,Savelugu Nanton,2011,GROUNDNUT,2.5,
NORTHERN ,Sawla/Tuna/Kalba,2011,GROUNDNUT,1.3,
NORTHERN ,Tamale Metro,2011,GROUNDNUT,1.9,
NORTHERN ,Tolon,2011,GROUNDNUT,1.82,
NORTHERN ,Kumbungu,2011,GROUNDNUT,1.82,
NORTHERN ,West Gonja,2011,GROUNDNUT,1.74,
NORTHERN ,West Mamprusi,2011,GROUNDNUT,1.23,
NORTHERN ,Yendi,2011,GROUNDNUT,1.59,
NORTHERN ,Zabzugu,2011,GROUNDNUT,2.4,
NORTHERN ,Tatale,2011,GROUNDNUT,2.4,
NORTHERN ,Bole,2011,  COWPEA,1.45,
NORTHERN ,Bunkpurugu Yonyo,2011,  COWPEA,2,
NORTHERN ,Central Gonja,2011,  COWPEA,2.53,
NORTHERN ,East Gonja,2011,  COWPEA,2.06,
NORTHERN ,East Mamprusi,2011,  COWPEA,1.87,
NORTHERN ,Gushiegu,2011,  COWPEA,1.83,
NORTHERN ,Karaga,2011,  COWPEA,1.48,
NORTHERN ,Nanumba North,2011,  COWPEA,1.94,
NORTHERN ,Nanumba South,2011,  COWPEA,1.86,
NORTHERN ,Saboba,2011,  COWPEA,1.65,
NORTHERN ,Savelugu Nanton,2011,  COWPEA,2.4,
NORTHERN ,Sawla/Tuna/Kalba,2011,  COWPEA,1.6,
NORTHERN ,Tamale Metro,2011,  COWPEA,1.67,
NORTHERN ,Tolon,2011,  COWPEA,2,
NORTHERN ,Kumbungu,2011,  COWPEA,2,
NORTHERN ,West Gonja,2011,  COWPEA,2,
